ProductID,ProductName,ShadowOf,ProductType,AggregateQty,SitePrice,AverageCost,QtySold30,QtySold60,QtySold90,QtySoldYTD,LocationNotes,PURCHASEGROUP,DEPARTMENT,BASEITEM,DEPOP,BUILDITEM,BRAND,MODELNUMBER,IDENTIFIER,ItemNotes,PORTS,PARTS,BOXNOTES,BUILDERRAM,CACHE,INTERFACE,TRANSFERRATE,MEMORYSIZE,CPUBRAND,SOCKET,MAXCPUS,RAMRANK,DIMMSLOTS,DIMMSPERCHANNEL,VARIATIONS,PRICINGNOTES,CORES,FORM,FSB,HYPERTHREADING,INTRAY,MEMORYCHANNELS,MICROCENTERSKU,ONBOARDGPU,SCREENSIZE,PURCHASINGNOTES,RAMTYPE,RANK,REFRESHRATE,SCALABILITY,SCRAPVALUE,WATTS,DESTINATION,SPEED,InventoryLowStockNotice,InventoryHighStockNotice,OnOrder
CTK 100567,DELL PERC H200 H215J No Bracket RAID CARD,,Raid Card,0,0,0,0,0,0,0,,H200,Card,TRUE,FALSE,FALSE,DELL,,H215J,,No Bracket,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,99999,0
CTK 100568,DELL H710 MINI BLADE WR9NT 512MB BUILDS RAID CARD,,Raid Card,0,50,29.57,0,0,0,0,BUILD BOX 29,H710,Card,TRUE,FALSE,FALSE,DELL,,WR9NT,,,,,,512MB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,0
CTK 100569,DELL PERC H810 VV648 LOW PROFILE 2X EXTERNAL SAS PORTS RAID CARD,,Raid Card,2,140,0,0,0,0,0,CP-03-05,,Card,TRUE,FALSE,FALSE,DELL,,VV648,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0
CTK 100572,DELL X540 98493 Quad Port TOM PCI/NIC CARD,,NIC Card,0,50,0,0,0,4,9,CP-01-30(9),X540,Card,TRUE,FALSE,FALSE,DELL,,98493,,,,,,,,"2X 10GBPS, 2X 1GBPS",,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,0
CTK 100575,DELL AAR-2610SA H2052 6X SATA PORTS RAID CARD,,Raid Card,0,2,0,0,0,0,0,,,Card,TRUE,FALSE,FALSE,DELL,,H2052,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0
CTK 100578,DELL PERC H800 N743J Dual External SAS Ports 512MB RAID CARD,,Raid Card,1,45,0,0,0,0,0,CP-02-26,,Card,TRUE,FALSE,FALSE,DELL,,N743J,,,,,,512MB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0
CTK 100584,DELL PRO/1000 PS U676R LOW PROFILE DUAL PORT PCI/NIC CARD,,NIC Card,0,20.98,0,0,0,0,0,,1000,Card,TRUE,FALSE,FALSE,DELL,,U676R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0
CTK 100585,DELL SB0770 WW202 HIGH PROFILE CREATIVE LABS SOUND CARD SOUND CARD,,Sound Card,1,13,0,0,0,0,0,CP-03-24(2),,Card,TRUE,FALSE,FALSE,DELL,,WW202,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0
CTK 100587,"HP QUADRO FX 5600 456139-001 Dual DVI, S-Video 1.5GB GRAPHIC CARD",,Graphics Card,0,40.5,0,0,0,0,0,,FX 5600,Card,TRUE,FALSE,FALSE,HP,,456139-001,,,,,,,,,1.5GB,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0
CTK 100590,DELL 4E/DC TD977 w/ Cache RAID CARD,,Raid Card,0,14.99,0,0,0,0,0,,,Card,TRUE,FALSE,FALSE,DELL,,TD977,,w/ Cache,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0
CTK 100591,DELL I350 7MJH5 HIGH PROFILE PCI/NIC CARD,,NIC Card,0,15,0,0,0,0,0,WS BOX 07,,Card,TRUE,FALSE,FALSE,DELL,,7MJH5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0
CTK 100593,DELL PERC4 J4717 RAID CARD,,Raid Card,0,0,0,0,0,0,0,,,Card,TRUE,FALSE,FALSE,DELL,,J4717,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0
CTK 100594,DELL PRO/1000 GF668 HIGH PROFILE PCI/NIC CARD,,NIC Card,0,13,0,0,0,0,0,,,Card,TRUE,FALSE,FALSE,DELL,,GF668,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0
CTK 100596,DELL X540/I350 P71JP Quad Port TOM PCI/NIC CARD,,NIC Card,0,84.99,0,0,0,0,2,cp-02-31,I350,Card,TRUE,FALSE,FALSE,DELL,,P71JP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,0
CTK 100599,DELL BROADCOM 57800S MT09V TOM PCI/NIC CARD,,NIC Card,3,34.99,0,0,0,0,52,CP-04-01,,Card,TRUE,FALSE,FALSE,DELL,,MT09V,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,19,0
CTK 100600,DELL BROADCOM 5720 0FCGN HIGH PROFILE DUAL PORT RJ-45 PCI/NIC CARD,,NIC Card,0,15,0,0,0,0,0,WS BOX 17,,Card,TRUE,FALSE,FALSE,DELL,,0FCGN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0
CTK 100601,"DELL FIREPRO V4800 0X31G DVI, Dual Display Port GRAPHIC CARD",,Graphics Card,0,19.99,0,1,4,4,4,CP-01-30,V4800,Card,TRUE,FALSE,FALSE,DELL,,0X31G,,"1X DVI, 2X DISPLAY",,,,,,,1GB,,,,,,,,,,,,,,,,,,,,,,,,,,,3,0,0
CTK 100602,DELL FIREPRO W7000 CHF4P Quad Display Port GRAPHIC CARD,,Graphics Card,0,100,29.7,1,2,33,36,CP-02-29,W7000,Card,TRUE,FALSE,FALSE,DELL,,CHF4P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0
CTK 100603,DELL GC-MMDS-RH TVM1W Dell Controller Card MISC,,Raid Controller,0,25,0,0,0,0,0,,,Card,TRUE,FALSE,FALSE,DELL,,TVM1W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0
CTK 100604,DELL IDRAC7 81RK6 Single Port Build Item PCI/NIC CARD,,NIC Card,64,10,0,0,0,2,16,BUILD BOX 07(0),IDRAC7,Card,TRUE,FALSE,FALSE,DELL,,81RK6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,0
CTK 100606,DELL I350 XP0NY LOW PROFILE DUAL PORT PCI/NIC CARD,,NIC Card,0,25,0,0,0,0,0,CP-02-06,I350,Card,TRUE,FALSE,FALSE,DELL,,XP0NY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0
CTK 100608,DELL NETXTREME II G218C HIGH PROFILE DUAL PORT NIC CARD PCI/NIC CARD,,NIC Card,35,4.99,0.09,0,0,0,0,Box 034,,Card,TRUE,FALSE,FALSE,DELL,,G218C,,2X RJ-45,,,,,,1GBPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,0
CTK 100609,DELL PEG2BPI5 4FR0N HIGH PROFILE DUAL PORT PCI/NIC CARD,,NIC Card,1,20,0,0,0,0,0,,,Card,TRUE,FALSE,FALSE,DELL,,4FR0N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0
CTK 100610,DELL PERC 5E XM768 w/ Cache RAID CARD,,Raid Card,0,3,0,0,0,0,0,,,Card,TRUE,FALSE,FALSE,DELL,,XM768,,w/ Cache,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0
CTK 100613,"DELL QUADRO FX 4800 Y451H DVI, Dual Display Port, S-Video 1.5GB Build Item GRAPHIC CARD",,Graphics Card,5,44.99,0,0,0,0,0,CP-02-10,FX 4800,Card,TRUE,FALSE,FALSE,DELL,,Y451H,,,,,,,,,1.5GB,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0
CTK 100617,DELL PERC 6E F989F 256MB RAID CARD,,Raid Card,0,15,0,0,0,0,0,CP-03-10(0),PERC 6,Card,TRUE,FALSE,FALSE,DELL,,F989F,,,,,,256MB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0
CTK 100619,HP AD167A 410984-001 HIGH PROFILE PCI/NIC CARD,,NIC Card,0,1,0,0,0,0,0,,,Card,TRUE,FALSE,FALSE,HP,,410984-001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0
CTK 100620,HP FIREPRO V7900 654596-001 HIGH PROFILE W/ 4X DISPLAY PORTS GRAPHIC CARD,,Graphics Card,1,155,41.25,0,0,0,0,cp-02-11,V7900,Card,TRUE,FALSE,FALSE,HP,,654596-001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0
CTK 100621,HP GEFORCE GT630 702084-001 HIGH PROFILE DUAL DISPLAY PORT & DVI GRAPHIC CARD,,Graphics Card,1,50,18.75,0,0,0,5,"Picture Table(0),CP-02-01(0)",T630,Card,TRUE,FALSE,FALSE,HP,,702084-001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,99999,0
CTK 100630,HP SAS9217-4I4E 725904-001 HIGH PROFILE SINGLE INTERNAL & EXTERNAL SAS RAID CARD,,Raid Card,65,20,0,24,24,24,24,BOX 12,9217-414E,Card,TRUE,FALSE,FALSE,HP,,725904-001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,99999,0
CTK 100632,HP P822 643379-001 2GB RAID CARD,,Raid Card,0,60,0,0,14,14,51,Box 027,P822,Card,TRUE,FALSE,FALSE,HP,,643379-001,,,,,,2GB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,0
CTK 100643,HP P222 633537-001 High Profile 512MB RAID CARD,,Raid Card,0,57.49,0,0,2,2,2,,,Card,TRUE,FALSE,FALSE,HP,,633537-001,,,,,,512MB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0
CTK 100645,HP WS460C 583496-001 Mezzanine Controller MISC,,Raid Controller,0,35,0,0,0,0,0,,Misc,Card,TRUE,FALSE,FALSE,HP,,583496-001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0
CTK 100648,HP N/A 176804-002 PCI/NIC CARD,,NIC Card,0,5,0,0,0,0,0,,,Card,TRUE,FALSE,FALSE,HP,,176804-002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0
CTK 100649,"HP QUADRO FX 4800 536796-001 DVI, Dual Display Port, S-Video 1.5GB Build Item GRAPHIC CARD",,Graphics Card,9,40,1.49,0,0,10,34,AMAZON BOX 2,FX4800,Card,TRUE,FALSE,FALSE,HP,,536796-001,,,,,,,,,1.5GB,,,,,,,,,,,,,,,,,,,,,,,,,,,0,99999,0
CTK 100651,HP P220I 670026-001 512MB CONTROLLER CARD,,Raid Controller,0,9.99,0.01,0,0,0,0,BUILD BOX 07(8),,Card,TRUE,FALSE,FALSE,HP,,670026-001,,,,,,512MB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,0
CTK 100655,HP P420 633538-001 LOW PROFILE W/ 2GB CACHE BUILD ITEM RAID CARD,,Raid Card,0,90,0,0,0,0,0,BUILD BOX 07(0),P420,Card,TRUE,FALSE,FALSE,HP,,633538-001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,0
CTK 100656,HP SAS3041E-HP 510359-001 HIGH PROFILE RAID CARD,,Raid Card,0,11.99,3.6,0,0,0,0,CP-01-30(0),,Card,TRUE,FALSE,FALSE,HP,,510359-001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0
CTK 100661,HP P421 633539-001 HIGH PROFILE 1GB CACHE DUAL EXTERNAL SAS PORT RAID CARD,,Raid Card,0,138,0,0,0,0,0,cp-02-18,P421,Card,TRUE,FALSE,FALSE,HP,,633539-001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0
CTK 100665,HP FIREPRO V3900 677982-001 HIGH PROFILE DISPLAY PORT & DVI GRAPHIC CARD,,Graphics Card,13,19.99,2.27,0,0,0,0,OS-04,V3900,Card,TRUE,FALSE,FALSE,HP,,677982-001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0
CTK 100666,"HP RADEON HD 6570 CARD CP2-02 DVI, Dual Display Port 1GB GRAPHIC CARD",,Graphics Card,0,14.99,0,0,0,0,0,,,Card,TRUE,FALSE,FALSE,HP,,CARD CP2-02,,,,,,,,,1GB,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0
CTK 100667,HP NC375I 491838-001 Quad Port 1GB PCI/NIC CARD,,NIC Card,0,9.5,5.85,0,0,0,0,CP-02-02(0),,Card,TRUE,FALSE,FALSE,HP,,491838-001,,,,,,1GB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0
CTK 100669,HP ASC-29160I 324710-001 Single Port SCSI Controller SCSI PCI/NIC CARD,,NIC Card,0,0,0,0,0,0,0,,,Card,TRUE,FALSE,FALSE,HP,,324710-001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0
CTK 100670,"HP QUADRO FX 4500 395814-001 Dual DVI, S-Video 512MB GRAPHIC CARD",,Graphics Card,0,20,0,0,0,0,0,,,Card,TRUE,FALSE,FALSE,HP,,395814-001,,,,,,,,,512MB,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0
